,type,isfood_encoded
15116,Taxi,0
15117, miles travelled,0
15118,Taxi Travelled KMs,0
15119, Meal allowance Paris,1
15120,Rail,0
15121,Rail,0
15122,Taxis,0
15123,Other invitation,1
15124,Meals for day trip,1
15125, Hotel Paris Sophia,0
15126,Taxi,0
15127,Rail,0
15128, miles travelled,0
15129,Parking Toll ERP,0
15130,Staff Training,0
15131,Taxi,0
15132,Per diem Dinner,1
15134, Lunch,1
15135, Meal allowance country,1
15137,Taxis,0
15138,Taxis,0
15139,Taxi,0
15140,Hotel Accommodation,0
15141,Meals for day trip,1
15142,Telephone Mobile,0
15143, miles travelled,0
15144,Lunch when at NON client site,1
15145,Hotel Accommodation,0
15146, Lunch,1
15147, Breakfast,1
15148, Taxi,0
15149,Lunch when at NON client site,1
15150,Underground,0
15151,Other Incidentals,0
15152,Taxi,0
15153,Rail,0
15154,Hotel domestic breakf etc,0
15155,Parking,0
15156,Taxi,0
15157, Lunch,1
15158, Meal allowance Paris,1
15159, Taxi,0
15160,Taxi,0
15161, Parking,0
15162, miles travelled,0
15163, miles travelled,0
15164, Reception,1
15165,Train km ,0
15167, Lunch,1
15168,Lunch when at NON client site,1
15169,Breakfast left home pre am,1
15170, Car rental,0
15171,Rail,0
15172,Taxi Local ,0
15173,Parking Tolls Cong Charge,0
15174,UK Per Diem,1
15175,Parking Tolls Cong Charge,0
15176,Repre internal,0
15177,Tool,0
15178,Parking Toll ERP,0
15179,Parking Tolls Cong Charge,0
15180,Parking,0
15181, Transports Subscription ,0
15182,Hotel domestic breakf etc,0
15183,Train km ,0
15184,Overseas Per Diem,0
15185, Pers Internet Home work,0
15186, Meal allowance Paris,1
15187,Taxi,0
15188, Pers Internet Home work,0
15189,Invit Entert priv Sec ,0
15190, miles travelled,0
15191,Mobile,0
15192,others ,0
15193,Lunch Max F C,1
15194,Eve Meal re overnight stay,1
15195,Meals for day trip,1
15196, Meal allowance country,1
15197,Phone charge,0
15198,Train km ,0
15199,Hotel Accommodation,0
15200, Lunch,1
15201,Non CO Panel Doc Depend,0
15202,Taxis,0
15203,Rail,0
15204,Taxi,0
15205,Conveyance Expenses,0
15206,Taxi ,0
15208, Lunch,1
15209,Hotel domestic breakf etc,0
15210, miles travelled,0
15211, miles travelled,0
15212, Lunch Drink VAT ,1
15213,Hotel domestic accomad ,0
15214,Lunch Abroad,1
15215,Hotel Accommodation,0
15216,Underground,0
15217,Rail,0
15218,Meals Business Or Travel,1
15219, Pers Internet On call,0
15220,Underground,0
15221, Lunch,1
15222,Personal Car,0
15223,Meals for day trip,1
15224,Motorway Car park,0
15225,Eve Meal re overnight stay,1
15226,Rail,0
15227,Other Expenses Meals,0
15228,Business meal,1
15229,Others,0
15230, miles travelled,0
15231,Hotel domestic breakf etc,0
15232, Parking,0
15233,Lunch invitation,1
15234,Hotel domestic accomad ,0
15235,Taxi Travelled KMs,0
15236,Parking Tolls Cong Charge,0
15237,Personal Incidental Exp UK,0
15238,Lodging incl breakfast,0
15239,Hotel domestic accomad ,0
15240, miles travelled,0
15241,Highway,0
15242,Mobile,0
15243,Underground,0
15244,Taxi,0
15246,Taxi,0
15247,Hotel domestic breakf etc,0
15248,Taxi,0
15249,Other travel exp international,0
15250,Mobile Phone No GST,0
15251, miles travelled,0
15252,Train km ,0
15253, miles travelled,0
15254,Gasoline,0
15255, Taxi,0
15256, Taxi,0
15257,others ,0
15259,Total Per diem,1
15260,Airfare,0
15261,Toll Fee Local ,0
15262, Transports Subscription ,0
15263, miles travelled,0
15264,Taxis,0
15265, miles travelled,0
15266,Others ,0
15267,Meals for day trip,1
15268,Meals Business Or Travel,1
15269,Other Per Diem,0
15270,Parking Tolls Cong Charge,0
15271, miles travelled,0
15272,Petrol,0
15273,Train km ,0
15274, miles travelled,0
15275, Car rental,0
15276, miles travelled,0
15277, Lunch,1
15278, Transports occasional ,0
15279,Train km ,0
15280,Lunch when at NON client site,1
15281,Lunch F C,1
15282,Lunch Max F C,1
15283, Lunch,1
15284, Meal allowance country,1
15285,Client Entertainment,0
15286,Rail,0
15287,Parking tax relevant,0
15288, Dinner Paris,1
15289,Hotel,0
15290,Eve Meal re overnight stay,1
15291,Taxi,0
15292,Rail,0
15293,Amex fees,0
15294,Motorway Car Park,0
15295,Lunch when at NON client site,1
15296,MTR,0
15297, Taxi,0
15298,Parking Tolls Cong Charge,0
15299,others ,0
15300,Communication Others,0
15301,Taxi,0
15302,Personal Incidental Exp UK,0
15303, miles travelled,0
15304, miles travelled,0
15305,Rail,0
15306,Fuel,0
15307,Lunch when at NON client site,1
15308,Train km ,0
15309, Reception,1
15310,Petrol,0
15311, Lunch,1
15312,Meals Business Or Travel,1
15313,American express statement,0
15314,Parking Tolls Cong Charge,0
15315,National Meal,1
15316,Telephone Internet,0
15317,Rail,0
15318,Telepass,0
15319, miles travelled,0
15320,Taxi ,0
15321,Meals for day trip,1
15322,Motorway Car park,0
15323,Meals for day trip,1
15324,Gasoline,0
15325,International Meal,1
15326, Hotel abroad,0
15327,Meals Business Or Travel,1
15328,Repre internal,0
15329,Rail,0
15330,Parking,0
15331,Taxi,0
15332,Parking fee,0
15333, Meal allowance Paris,1
15334,Underground,0
15335,Taxis,0
15336, miles travelled,0
15337,Lunch Dinner max F C,1
15338,Taxi,0
15339,Rental car,0
15340,Lunch when at NON client site,1
15341,Hotel,0
15342,Gasoline,0
15343,Total Per diem,1
15344,Highway,0
15345,Rail,0
15346,Meals Business Or Travel,1
15347,Medical examination,0
15348,Meals for day trip,1
15349,Car rent,0
15350,Train km ,0
15351,Meals for day trip,1
15352,Train km ,0
15353,Conveyance Expenses,0
15354,Telephone Mobile,0
15355,Underground,0
15356,Train km ,0
15357,Lunch when at NON client site,1
15358,Lunch when at NON client site,1
15359, Housing allowance country,0
15360,Airport Transfer,0
15361,Other Expenses Taxi,0
15362,Taxi,0
15363,Telephone Internet,0
15364, Dinner Drink VAT ,1
15365,Parking Tolls Cong Charge,0
15366,Overseas Per Diem,0
15367,Taxi ,0
15368, Parking,0
15369,Taxis,0
15370,Motorway Car park,0
15371, Parking,0
15372,Plane,0
15373,Breakfast after overnight stay,1
15374,Travel Exp,1
15375,Train trip for business,0
15376,Transport,0
15377,Lunch when at NON client site,1
15378,Rail,0
15379,Taxis,0
15380,Train km ,0
15381,Lunch when at NON client site,1
15382,Meals for day trip,1
15383,Meals Business Or Travel,1
15384, Meal allowance country,1
15385, Transports occasional ,0
15386, Meal allowance country,1
15387,Flight Ticket paid by company,0
15388,Xerox Binding Charges,0
15389,Taxis,0
15390,Parking Tolls Cong Charge,0
15391,Others,0
15392,Parking Tolls Cong Charge,0
15393, miles travelled,0
15394,Parking,0
15395,Ferry Other transportation,0
15396,Taxis,0
15397,FOREIGN OTHER EXPENSE,0
15398,Lunch when at NON client site,1
15399,Hotel F C,0
15400,Public Transport,0
15401,Travel Exp,1
15402,Rail,0
15403, Bank fees,0
15404,Parking Tolls Cong Charge,0
15405,Parking Tolls Cong Charge,0
15406,Hotel,0
15407,Parking Tolls Cong Charge,0
15408, miles travelled,0
15409,Motorway Car park,0
15410,Taxis,0
15411,Train abroad,0
15412,Toll Fee Local ,0
15413, miles travelled,0
15414,Parking Tolls Cong Charge,0
15415,Lunch when at NON client site,1
15416,Flight Ticket paid by company,0
15417,Telepass,0
15418,Taxis,0
15419,Parking,0
15420, Transports Subscription ,0
15421,Toll Fee Local ,0
15422,Taxis,0
15423,Meal allowance OT FB,1
15424, miles travelled,0
15426,Lunch when at NON client site,1
15427, miles travelled,0
15428,Meals for day trip,1
15429,Train,0
15430, miles travelled,0
15431,Hotel domestic breakf etc,0
15432, miles travelled,0
15433,Motorway Car park,0
15434,Parking Toll ERP,0
15435,Hotel Accommodation,0
15436, Lunch,1
15437,Rail,0
15438,Public Transport,0
15439,Telephone Internet,0
15440,Taxi Local ,0
15441,Hotel Accommodation,0
15442,others ,0
15443,Train km ,0
15444,Meals Employee Function,1
15445,Total Per diem,1
15446,Rail,0
15447,Phone charge,0
15448, Meal allowance country,1
15449,Train ,0
15450, Meal allowance Paris,1
15451,Transportation,0
15452, Seminar,0
15453,Eve Meal re overnight stay,1
15454,Breakfast left home pre am,1
15455, miles travelled,0
15456,Underground,0
15457,Lunch when at NON client site,1
15458, Transports Subscription ,0
15459,Rail,0
15460,Motorway Car park,0
15461, Meal allowance country,1
15462,Parking,0
15463,Taxis,0
15464,Metropolitan public transport,0
15465, miles travelled,0
15466,Meals for day trip,1
15467,Meals Business Or Travel,1
15468,Overseas Per Diem,0
15469, Meal allowance Paris,1
15470,Underground,0
15471,Air Travel,0
15472, Dinner Drink VAT ,1
15473,Taxi,0
15475,Local Travel Daily Allowance,0
15476,Taxi,0
15477,Hotel,0
15478,Lodging incl breakfast,0
15479,Train km ,0
15480,Others,0
15481,Taxis,0
15482,Meals for day trip,1
15483,Postage,0
15484,Parking Tolls Cong Charge,0
15485, Transports Subscription ,0
15486,Taxi,0
15487,Conveyance Expenses,0
15488,Parking Tolls Cong Charge,0
15489,Airfare Ticket Charge Fee,0
15490,Other Per Diem,0
15491, miles travelled,0
15492,Hotel,0
15493, Housing allowance abroad,0
15494,Parking,0
15495,UK Per Diem,1
15496,Meal Allowance Weekday ,1
15497, miles travelled,0
15498,Training Staff Cert Reimb,0
15499,Lunch when at NON client site,1
15500,Xerox Binding Charges,0
15501,Other Expenses Taxi,0
15502, Taxi,0
15503,Meals for day trip,1
15504, Meal allowance country,1
15505,others ,0
15506,Lunch when at NON client site,1
15507,Training Staff Cert Reimb,0
15508,Per diem Dinner,1
15509,Meals for day trip,1
15510,Business meal,1
15511,Parking Tolls Cong Charge,0
15512, miles travelled,0
15513,Hotel domestic breakf etc,0
15514,Meals for day trip,1
15515,Taxi,0
15516,Business meal,1
15517,Hotel Accommodation,0
15518,Per diem Lunch,1
15519, Lunch,1
15520,post stamps,0
15521,Rail,0
15522, Pers Internet Home work,0
15523,Train km ,0
15524,Taxi,0
15525, Meal allowance Paris,1
15526, miles travelled,0
15527, Meal allowance country,1
15528,Accommodation for nights,0
15529, Car rental,0
15530, Toll,0
15531,Taxis,0
15532,Hotel domestic breakf etc,0
15533,Other Per Diem,0
15534,Hotel Accommodation,0
15535,Personal Car,0
15536,others ,0
15537,Rail,0
15538,Taxi Local ,0
15539,Others e g breakfast doctor ,0
15540,Lunch when at NON client site,1
15541,Conveyance Expenses,0
15542, Dinner Paris,1
15543,Train km ,0
15544, Taxi,0
15545, miles travelled,0
15546,Taxi Local ,0
15547,UK Per Diem,1
15548,Meals for day trip,1
15549,Train km ,0
15550, Taxi,0
15551,Motorway Car park,0
15552, Parking,0
15553,Bus,0
15554,Lunch when at NON client site,1
15555, Lunch,1
15556,Underground,0
15557, miles travelled,0
15558,Hotel domestic accomad ,0
15559, miles travelled,0
15560,Taxi,0
15561,Gasoline,0
15562, Taxi,0
15563, Mileage allowances BULL,0
15564,Others,0
15565,Rail,0
15566, Transports Subscription ,0
15567,Underground,0
15568,Telephone Mobile,0
15570,Lodging incl breakfast,0
15571,Meals for day trip,1
15572,Parking ERP,0
15573, miles travelled,0
15574,Parking Tolls Cong Charge,0
15575,Taxi,0
15576, Lnch Dnnr Cntry cumulated ,1
15577,Parking Tolls Cong Charge,0
15578,Lunch when at NON client site,1
15579,Taxis,0
15580,Hotel domestic breakf etc,0
15581,Meals Business Or Travel,1
15582, Dinner Paris,1
15583,Lunch when at NON client site,1
15584, Toll,0
15585, Lunch,1
15586,Lunch F C,1
15587,Rental car,0
15588,Parking Tolls Cong Charge,0
15589,Hotel Accommodation,0
15590, Mileage allowances BULL,0
15591,Rail,0
15592, Lunch,1
15593,Train abroad,0
15594,Bus,0
15595, Lunch,1
15596,Hotel domestic breakf etc,0
15597,Taxi abroad,0
15598,Air Travel,0
15599,Per diem Lunch,1
15601, miles travelled,0
15602,others ,0
15603,Team building,0
15604,Other Employee Costs,0
15605, Pers Internet Home work,0
15606,Parking toll ferry client car,0
15607, Breakfast,1
15608,Eve Meal late home after pm,1
15609,Hotel domestic accomad ,0
15610,Taxi for persons,0
15611, Pers Internet On call,0
15612,Taxi,0
15613,Per diem Lunch,1
15614,Taxi,0
15615, miles travelled,0
15616,Motorway toll,0
15617,Local Conveyance Within City,0
15618, Toll,0
15619,Per diem Lunch,1
15620,Benefits ,0
15621,Taxi,0
15623,Eve Meal late home after pm,1
15624,Meals for day trip,1
15625,Lunch when at NON client site,1
15626,Parking Toll ERP,0
15627,Taxis,0
15628,Taxis,0
15629,Repre internal,0
15630, Meal allowance country,1
15631,Highway,0
15632,Lunch when at NON client site,1
15633,Motorway Car park,0
15634,Taxis,0
15635,Hotel,0
15636,FOREIGN TRAVEL STAFF EXP,0
15637, Toll,0
15638, Housing allowance country,0
15639, Housing allowance abroad,0
15640,Hotel Accommodation,0
15641,Train km ,0
15642,Taxi Abroad,0
15643,Hotel,0
15644, Toll,0
15645,Meals for day trip,1
15646,Rail,0
15647,Hotel,0
15648,Lunch when at NON client site,1
15649,Rail,0
15650,Lunch when at NON client site,1
15651,Taxi International,0
15652,Taxi,0
15653,Staff Ent Motivate Indiv Team,0
15654, Lunch,1
15655,Hotel Accommodation,0
15656,Meal Allowance Weekday ,1
15657,Taxi ,0
15658, Transports Subscription ,0
15659,Underground,0
15660, miles travelled,0
15661, Lunch,1
15662,Lunch,1
15663,Hotel F C,0
15664,Meals for day trip,1
15665, Meal allowance Paris,1
15666,Meals Business Or Travel,1
15667,Client Entertainment,0
15668, Lunch,1
15669,Parking,0
15670, Meal allowance Paris,1
15671,Production support Accor FB,0
15672,Dinner,1
15673, Reception,1
15674,Late Sitting Food,1
15675,Underground,0
15676,Conveyance Expenses,0
15677, Transports occasional ,0
15678,Parking Tolls Cong Charge,0
15679,Train km ,0
15680,Hotel,0
15681,Conference meals domestic,1
15682,FOREIGN TRAVEL HOTEL ACCOM ,0
15683, Dinner Paris,1
15685,Meals for day trip,1
15686, Transports Subscription ,0
15687, Lnch Dnnr Cntry cumulated ,1
15688,Travel Exp,1
15689,Parking Tolls Cong Charge,0
15690,Parking tax relevant,0
15691,Rental car,0
15692, miles travelled,0
15693, Reception,1
15694,Accommodation for nights,0
15696,Lunch when at NON client site,1
15697,Rental car,0
15698,Rail,0
15699,Car Rental,0
15700,Internet Access,0
15701, Meal allowance country,1
15702, Toll,0
15703,Hotel,0
15704,Train km ,0
15705,Invit Entert priv Sec ,0
15706,Meal allowance OT FB,1
15707,Course abroad,0
15708, Taxi,0
15709,Rail,0
15710,Taxi Local ,0
15711,Parking Tolls Cong Charge,0
15712,Postage Courier Charges,0
15713, Diesel,0
15714,Parking,0
15715,Telepass,0
15717,Rail,0
15718,Taxi abroad,0
15719, Taxi,0
15720,Hotel Accommodation,0
15721,Other travel exp international,0
15722, Parking,0
15723,Eve Meal re overnight stay,1
15724,Parking Tolls Cong Charge,0
15725, Hotel except Paris Sophia,0
15726,Service Private Sector,0
15727,Rail,0
15728, Meal allowance country,1
15729, Mileage allowances BULL,0
15730,Per diem Lunch,1
15731,Lunch,1
15732,Taxi,0
15733, Lunch,1
15734, Meal allowance country,1
15735,Lunch when at NON client site,1
15736,Train,0
15737,Taxi,0
15738,Meals for day trip,1
15739,Eve Meal re overnight stay,1
15740,Eve Meal re overnight stay,1
15741,Hotel domestic breakf etc,0
15742,Meals for day trip,1
15743,Parking,0
15745,others ,0
15746,Hotel,0
15747,Per diem Night,0
15748, Lunch,1
15749,Train Company paid,0
15750,Other Expenses Others,0
15751,Personal Incidental Exp UK,0
15752, Mileage allowances BULL,0
15753,Meals GST,1
15754,Parking Tolls Cong Charge,0
15755,Parking Tolls Cong Charge,0
15756,Motorway Car park,0
15757,Project related allow FB,0
15758, Taxi,0
15759,Taxi,0
15760,Entertainment food drink,0
15761, Dinner Drink VAT ,1
15762, Taxi,0
15763,Per diem Lunch,1
15764,Meals Business Or Travel,1
15765,Daily Allowance Others ,1
15766,Underground,0
15767, Lunch,1
15768,Rail,0
15769,International Meal,1
15770,Parking Tolls,0
15771,Dinner Executives F C,1
15772,Motorway Car park,0
15773,Travel Exp,1
15774,Lunch when at NON client site,1
15775,Public Transport,0
15776,Others abroad,0
15777, Small equipment,0
15778, Meal allowance Paris,1
15780,Taxi,0
15781, Transports Subscription ,0
15782, miles travelled,0
15783,Taxi ,0
15784, Hotel Paris Sophia,0
15785,Motorway Car park,0
15786,Travel Exp,1
15787, miles travelled,0
15788, Parking,0
15789,Hotel domestic accomad ,0
15790,DOMESTIC TRAVEL Taxi,0
15791, Meal allowance Paris,1
15792, miles travelled,0
15793,UK Per Diem,1
15794,Eve Meal re overnight stay,1
15795,Petrol,0
15796,Lunch Non working day,1
15797,others ,0
15798,Printing stationery,0
15799, miles travelled,0
15800,Parking Tolls Cong Charge,0
15801, Transports occasional ,0
15802, Lnch Dnnr Cntry cumulated ,1
15803,Meals Business Or Travel,1
15804, Dinner Paris,1
15805,Underground,0
15806,Rail,0
15807,Underground,0
15808,Rail,0
15809, miles travelled,0
15810,Car rent,0
15811, Taxi,0
15812,Hotel Accommodation,0
15813, Lunch,1
15814,Hotel Accommodation,0
15815, Lunch,1
15816, Reception,1
15817,Motorway Car park,0
15818, Pers Internet Home work,0
15820,Hotel Accommodation,0
15821,Taxi Travelled KMs,0
15822, Dinner country,1
15823,Hotel domestic breakf etc,0
15824,Hotel,0
15825, Taxi,0
15826,Taxis,0
15827,Phone charge,0
15828, Lunch Drink VAT ,1
15829, miles travelled,0
15830,Parking Tolls Cong Charge,0
15831,General Charges,0
15832, miles travelled,0
15833, Toll,0
15834,Taxi,0
15835,Taxi No GST,0
15836,Meals Business Or Travel,1
15837,Public Transport,0
15838, miles travelled,0
15839, Meal allowance country,1
15840,Lunch invitation,1
15841, miles travelled,0
15842,Education courses exams,0
15843,Train Bus,0
15844, Transports occasional ,0
15845,Highway,0
15846,Late Sitting Conveyance,0
15847, miles travelled,0
15848,Lunch when at NON client site,1
15849,Taxis,0
15850,Train km ,0
15851,Motorway Car park,0
15853,Overseas Receipted Meals,1
15854, Meal abroad,1
15855,Parking toll ferry own car,0
15856,Telephone Internet,0
15857,Taxis,0
15858,Taxi,0
15859, Toll,0
15860, miles travelled,0
15861, Dinner Paris,1
15862,Hotel domestic accomad ,0
15863,Hotel International,0
15864,Phone charge,0
15865, Lunch,1
15866, Lunch,1
15867, Taxi,0
15868, Dinner Paris,1
15869,Train km ,0
15870,Meals for day trip,1
15871, miles travelled,0
15872,Parking,0
15873,Rail,0
15874, Lunch,1
15875,Hotel domestic accomad ,0
15876,Hotel domestic accomad ,0
15877,Hotel F C,0
15878,Entertainment with Tax invoice,0
15879,Hotel Accommodation,0
15880,Lodging incl breakfast,0
15881, Breakfast,1
15882, Lunch,1
15883,Parking Toll ERP,0
15884,Entertainment Gift presents,0
15885, Lunch,1
15886,Fuel Hire Pool Car Fuel Card,0
15887,Parking abroad,0
15888,Hotel Accommodation,0
15889,Meals for day trip,1
15890,Lunch when at NON client site,1
15891,Phone charge,0
15892, Reception,1
15893,Meals for day trip,1
15894, Lunch,1
15895, Taxi,0
15896,Lunch when at NON client site,1
15897, Meal allowance Paris,1
15898,Eve Meal re overnight stay,1
15899,Lunch when at NON client site,1
15900, Dinner Paris,1
15901,Bus,0
15902, Meal allowance Paris,1
15903, miles travelled,0
15904,Underground,0
15905, Dinner Drink VAT ,1
15906, Meal allowance country,1
15908,Lunch when at NON client site,1
15909, Taxi,0
15910,others ,0
15911,Eve Meal re overnight stay,1
15912, miles travelled,0
15913,Emp Visa Medical ID cards,0
15914,Other Travel Expenses,0
15915,Entertainment Abroad,0
15916,Hotel Lodging,0
15917,Rail,0
15918, Train,0
15919,Taxi domestic,0
15920,Rental car,0
15921,Rental car,0
15922,Overseas Accomodation,0
15923,Meals Business Or Travel,1
15924,Total Per diem,1
15925,Telephone Internet,0
15926,Dinner,1
15927,Other Expenses Taxi,0
15928,Meal allowance OT FB,1
15929, Taxi,0
15930,Parking,0
15931,Gasoline,0
15932,Lunch when at NON client site,1
15933,Lunch when at NON client site,1
15934, Train,0
15935, Housing allowance country,0
15936, miles travelled,0
15937, miles travelled,0
15938,Lunch when at NON client site,1
15939, Breakfast,1
15940,Fuel,0
15941,Parking Tolls Cong Charge,0
15942, miles travelled,0
15943,Hotel,0
15944, miles travelled,0
15945,Taxi,0
15946,Meal Allowance Weekday ,1
15947,Employees integration,0
15948,Taxi ,0
15949,Train,0
15950,Taxis,0
15951,Public Transport,0
15952,Lunch Non working day,1
15953, Plane,0
15954,Hotel domestic accomad ,0
15955,Hotel Accommodation,0
15956,others ,0
15957,Hotel,0
15958,Meals for day trip,1
15959,Taxis,0
15960,Sundry,0
15961, Breakfast,1
15962,Parking Toll ERP,0
15963,FOREIGN OTHER EXPENSE,0
15964, Lunch,1
15965,Metropolitan public transport,0
15966, Dinner country,1
15967,Taxis,0
15968,Meals for day trip,1
15969,Rail,0
15970,Others business trip,0
15971,Meals for day trip,1
15972,Car rent,0
15973,Taxis,0
15974,Mobile,0
15975,Hotel Accommodation,0
15976, Breakfast,1
15977, Dinner Paris,1
15978,Hotel Accommodation,0
15979, Transports occasional ,0
15980, Lunch,1
15981,Hotel domestic breakf etc,0
15982, Toll,0
15983, miles travelled,0
15984, Plane,0
15985,Parking,0
15986, miles travelled,0
15987,Staying with Friends Relatives,0
15988,Bar drink sncks minibr Bus Trp,0
15989,Gasoline,0
15990,UK Per Diem,1
15991,Rail,0
15993, Dinner country,1
15994,Other Expenses Taxi,0
15995,Other Tolls,0
15996,Parking ERP,0
15997,others ,0
15998,Taxis,0
15999,Taxi Car Rental,0
16000, miles travelled,0
16001,Meals Business Or Travel,1
16002,Lunch invitation,1
16003, Meal allowance Paris,1
16005,UK Per Diem,1
16006, Transports occasional ,0
16007,Parking Toll ERP,0
16008,Motorway Car park,0
16009,Parking Tolls Cong Charge,0
16010,Parking toll ferry client car,0
16011,Motorway Car park,0
16012,Taxi Local ,0
16013,Parking Tolls Cong Charge,0
16014,UK Per Diem,1
16015,Taxis,0
16016,others ,0
16017,Other Tips non meals ,0
16018,Hotel domestic breakf etc,0
16019,Overseas Per Diem,0
16020, Transports occasional ,0
16021,Hotel Accommodation,0
16022,Telephone Internet,0
16023,Telepass,0
16024,Taxis,0
16025, Lunch,1
16026, Transports occasional ,0
16027,Other travel exp international,0
16028, Mileage allowances BULL,0
16029,Taxi Local ,0
16030, Lunch Drink VAT ,1
16031,Taxi,0
16032,Train km ,0
16033,UK Per Diem,1
16034, Train,0
16035,Rail,0
16036,Taxi Local ,0
16037, miles travelled,0
16038, Lunch,1
16039,Car Rental,0
16040,Limo Shuttle,0
16041,Hotel domestic accomad ,0
16042, Hotel except Paris Sophia,0
16043,Fuel For rented cars,0
16044,Rail,0
16045,Taxis,0
16046,Meals for day trip,1
16047, miles travelled,0
16048,Parking Tolls Cong Charge,0
16049,Lunch when at NON client site,1
16050,Telephone Internet,0
16051, miles travelled,0
16052,Train,0
16053, Meal allowance Paris,1
16054, miles travelled,0
16055, miles travelled,0
16056,Parking toll ferry client car,0
16057,Others ,0
16058,Parking Tolls Cong Charge,0
16059,Other expenses,0
16060,Long distance bus,0
16061,Benefits ,0
16062,Car Rental,0
16063,Taxis,0
16064, Parking,0
16065,Eve Meal late home after pm,1
16066,Meals for day trip,1
16067, miles travelled,0
16068,Taxi Domestic,0
16069,Meal allowance OT FB,1
16070,Parking Toll ERP,0
16071,Overseas Per Diem,0
16072,Telepass,0
16073,Breakfast after overnight stay,1
16074,Taxis,0
16075,Rail,0
16076,Parking Tolls Cong Charge,0
16077,Onsite offsite support FB,0
16078,Car Parking Fee,0
16079, Mileage allowances BULL,0
16080, Plane,0
16081,Business gifts,0
16083, Transports Zone extension ,0
16084,Others,0
16085,Taxi,0
16086,Rail,0
16087,Hotel domestic breakf etc,0
16088,Hotel,0
16089,Parking Toll ERP,0
16090,Airfare abroad,0
16091,Lunch when at NON client site,1
16092, Lunch,1
16093,Telephone Internet,0
16094, Meal allowance Paris,1
16095, Breakfast,1
16096,Meals for day trip,1
16097, miles travelled,0
16098,Taxis,0
16099,Others,0
16100, miles travelled,0
16101,Train km ,0
16102,Rail,0
16103,Taxi,0
16104,others ,0
16105, Diesel,0
16106,Train,0
16107, Dinner Paris,1
16108,Taxis,0
16109,Train km ,0
16110,Hotel domestic breakf etc,0
16111,Other expenses,0
16112,Underground,0
16114, Meal allowance country,1
16115,Car rental,0
16116,Late Sitting Conveyance,0
16117,Per diem Lunch,1
16118,Meals for day trip,1
16119,Other Expenses Taxi,0
16120,others ,0
16121,Hotel domestic accomad ,0
16122,Benefits ,0
16123,Sundry,0
16124, miles travelled,0
16125, Transports occasional ,0
16126,Entertainment Gift presents,0
16127,Phone charge,0
16128, miles travelled,0
16129, Pers Internet Home work,0
16130, Bank fees,0
16131,Taxi abroad,0
16132,Phone charge,0
16133,Telephone Internet,0
16134, Transports occasional ,0
16135,Taxi,0
16136,Eve Meal re overnight stay,1
16137, Toll,0
16138,Sundry,0
16139,Taxis,0
16140,Airline international,0
16141, Dinner Drink VAT ,1
16142,Personal Car,0
16143,Meals for day trip,1
16144,Meals for day trip,1
16145, Meal allowance country,1
16146,Parking,0
16147, Lunch,1
16148, Breakfast,1
16149,Gasoline,0
16150,Taxi for persons,0
16151,Taxi,0
16152, Meal allowance Paris,1
16153,UK Per Diem,1
16154,Hotel Accommodation,0
16155,Rail,0
16156,Total Per diem,1
16157,Transportation international,0
16158,Entertainment Gift presents,0
16159,Meals Business Or Travel,1
16160,Taxis,0
16161,Other Expenses Others,0
16162, miles travelled,0
16163,Train km ,0
16164,Parking Tolls Cong Charge,0
16165,National Meal,1
16166,Meals for day trip,1
16167,Train,0
16168, Breakfast,1
16169, Train,0
16170,others ,0
16171,Staff Ent Team Building,0
16172,Taxi Local ,0
16173,Parking,0
16174,FOREIGN OTHER EXPENSE,0
16175,Personal Incidental Exp UK,0
16176, Hotel Paris Sophia,0
16177,Accommodation for nights,0
16178,Business meal,1
16179, miles travelled,0
16180,Meals for day trip,1
16181,Conveyance Expenses,0
16182,Taxis,0
16183, miles travelled,0
16184,Entertainment Gift presents,0
16185,Room Tax ,0
16186, miles travelled,0
16187,Airfare,0
16188, Meal allowance country,1
16189,Eve Meal late home after pm,1
16190, Taxi,0
16191,Lunch when at NON client site,1
16192, Phone package,0
16193,Taxi,0
16194,Rail,0
16195,Hotel,0
16196, Reception,1
16197, miles travelled,0
16198,non mon benefit breakfast,0
16199, Lnch Dnnr Paris cumulated ,1
16200,Taxis,0
16201, Meal abroad,1
16202,Overseas Receipted Meals,1
16203, Meal abroad,1
16204,Taxi,0
16205,Taxi,0
16206,Taxis,0
16207, Meal allowance Paris,1
16208, Housing allow Paris Sophia,0
16209,Rail,0
16210,Daily Allowance Lunch ,1
16211,Entertainment,0
16212,Meal allowance OT FB,1
16213,Underground,0
16214,Airfare,0
16215,Rail,0
16216,Meals for day trip,1
16217,Overseas Per Diem,0
16218,Rail,0
16219, miles travelled,0
16220,Train,0
16221,Hotel domestic accomad ,0
16222,Rail,0
16223,Parking ERP,0
16224, miles travelled,0
16225,Other invitation,1
16226, Meal allowance country,1
16227,Hotel domestic breakf etc,0
16228,Overseas Receipted Meals,1
16229,Per diem Dinner,1
16230,Underground,0
16231, Lunch,1
16233,Rail,0
16234,Conveyance Expenses,0
16235, miles travelled,0
16236,Eve Meal late home after pm,1
16237, Breakfast,1
16238,Public Transport,0
16239,Public Transport,0
16240,Taxi,0
16241,Taxi Local ,0
16242,National Meal,1
16243,Per diem Lunch,1
16244,others ,0
16245,Standby allowance Accor FB,0
16246,Travel Exp,1
16247, Parking,0
16248,Eve Meal re overnight stay,1
16249,Parking Toll ERP,0
16250, Lunch Drink VAT ,1
